"id" "country" "group" "ST" "ASP" "GLN" "GLT" "GLY" "PGM" "TKT" "UNC"
1 1 0 21 2 1 1 3 2 1 5
2 1 3 21 2 1 1 3 2 1 5
3 1 3 45 4 7 10 4 1 7 1
4 1 3 583 4 7 10 4 42 51 1
5 1 3 42 1 2 3 4 5 9 3
6 1 3 21 2 1 1 3 2 1 5
7 1 3 4726 7 1 2 83 2 3 5
8 1 3 21 2 1 1 3 2 1 5
9 1 3 42 1 2 3 4 5 9 3
10 1 3 21 2 1 1 3 2 1 5
11 1 3 441 7 1 2 83 2 3 6
12 1 3 45 4 7 10 4 1 7 1
13 1 3 262 2 1 1 3 2 1 3
14 1 3 61 1 4 2 2 6 3 17
15 1 3 441 7 1 2 83 2 3 6
16 1 3 441 7 1 2 83 2 3 6
17 1 3 441 7 1 2 83 2 3 6
18 1 3 50 2 1 12 3 2 1 5
19 1 3 270 10 27 43 19 6 18 7
20 1 3 586 1 2 42 4 98 58 34
21 1 3 22 1 3 6 4 3 3 3
22 1 0 22 1 3 6 4 3 3 3
23 1 3 21 2 1 1 3 2 1 5
24 1 3 21 2 1 1 3 2 1 5
25 1 3 441 7 1 2 83 2 3 6
26 1 3 441 7 1 2 83 2 3 6
27 1 3 61 1 4 2 2 6 3 17
28 1 3 50 2 1 12 3 2 1 5
29 1 3 4727 1 4 2 372 6 3 17
30 1 3 21 2 1 1 3 2 1 5
31 1 3 61 1 4 2 2 6 3 17
32 1 0 19 2 1 5 3 2 1 5
33 1 3 42 1 2 3 4 5 9 3
34 1 3 257 9 2 4 62 4 5 6
35 1 3 4728 1 4 2 2 6 3 282
36 1 3 2262 2 4 1 2 7 3 5
37 1 3 61 1 4 2 2 6 3 17
38 1 3 61 1 4 2 2 6 3 17
39 1 3 4727 1 4 2 372 6 3 17
40 1 3 22 1 3 6 4 3 3 3
41 1 3 42 1 2 3 4 5 9 3
42 1 3 42 1 2 3 4 5 9 3
43 1 3 61 1 4 2 2 6 3 17
44 1 3 21 2 1 1 3 2 1 5
45 1 3 61 1 4 2 2 6 3 17
46 1 3 42 1 2 3 4 5 9 3
47 1 3 441 7 1 2 83 2 3 6
48 1 3 48 2 4 1 2 7 1 5
49 1 3 53 2 1 21 3 2 1 5
50 1 3 4730 7 1 2 83 6 3 6
51 1 3 58 19 24 23 20 26 16 15
52 1 3 21 2 1 1 3 2 1 5
53 1 3 257 9 2 4 62 4 5 6
54 1 3 21 2 1 1 3 2 1 5
55 1 3 48 2 4 1 2 7 1 5
56 1 2 50 2 1 12 3 2 1 5
57 1 3 42 1 2 3 4 5 9 3
58 1 3 270 10 27 43 19 6 18 7
59 1 3 50 2 1 12 3 2 1 5
60 1 3 4731 2 374 1 2 7 1 5
61 1 3 2151 1 3 6 4 42 3 3
62 1 3 257 9 2 4 62 4 5 6
63 1 3 4732 1 2 3 4 466 9 3
64 1 3 4727 1 4 2 372 6 3 17
65 1 3 492 2 1 1 2 7 1 5
66 1 3 50 2 1 12 3 2 1 5
67 1 0 3289 2 4 2 2 19 1 6
68 1 3 441 7 1 2 83 2 3 6
69 1 3 492 2 1 1 2 7 1 5
70 1 3 441 7 1 2 83 2 3 6
71 1 3 21 2 1 1 3 2 1 5
72 1 3 58 19 24 23 20 26 16 15
73 1 3 290 2 21 5 3 23 1 5
74 1 3 583 4 7 10 4 42 51 1
75 1 3 583 4 7 10 4 42 51 1
76 1 3 19 2 1 5 3 2 1 5
77 1 3 21 2 1 1 3 2 1 5
78 1 3 58 19 24 23 20 26 16 15
79 1 3 586 1 2 42 4 98 58 34
80 1 3 270 10 27 43 19 6 18 7
81 1 3 257 9 2 4 62 4 5 6
82 1 3 21 2 1 1 3 2 1 5
83 1 3 4733 1 2 3 4 468 9 3
84 1 0 4831 166 2 1 10 151 3 1
85 1 0 711 2 61 4 64 22 25 23
86 1 0 1775 10 27 59 19 10 5 7
87 1 0 475 2 4 1 4 19 62 5
88 1 0 1316 95 2 94 127 181 144 110
89 1 0 50 2 1 12 3 2 1 5
90 1 0 22 1 3 6 4 3 3 3
91 1 0 4738 62 4 1 2 2 1 5
92 1 0 19 2 1 5 3 2 1 5
93 1 0 441 7 1 2 83 2 3 6
94 1 0 4811 6 4 52 2 89 282 5
95 1 0 475 2 4 1 4 19 62 5
